AUX,160.311,160.66,DUT
AUX,161.311,161.66,DUT
AUX,162.311,162.66,DUT
AUX,163.311,163.66,DUT
AUX,164.311,164.66,DUT
AUX,165.311,165.66,DUT
AUX,166.311,166.66,DUT
AUX,167.311,167.66,DUT
AUX,168.311,168.66,DUT
AUX,169.311,169.66,DUT
AUX,170.311,170.66,DUT
AUX,171.311,171.66,DUT
AUX,172.311,172.66,DUT
AUX,173.311,173.66,DUT
AUX,174.311,174.66,DUT
AUX,175.311,175.66,DUT
AUX,176.311,176.66,DUT
AUX,177.311,177.66,DUT
AUX,178.311,178.66,DUT
AUX,179.311,179.66,DUT
AUX,180.311,180.66,DUT
AUX,181.311,181.66,DUT
AUX,182.311,182.66,DUT
AUX,183.311,183.66,DUT
AUX,184.311,184.66,DUT
AUX,185.311,185.66,DUT
AUX,186.311,186.66,DUT
AUX,187.311,187.66,DUT
AUX,188.311,188.66,DUT
AUX,189.311,189.66,DUT
AUX,190.311,190.66,DUT
AUX,191.311,191.66,DUT
AUX,192.311,192.66,DUT
AUX,193.311,193.66,DUT
AUX,194.311,194.66,DUT
AUX,195.311,195.66,DUT
AUX,196.311,196.66,DUT
AUX,197.311,197.66,DUT
AUX,198.311,198.66,DUT
AUX,199.311,199.66,DUT
AUX,200.311,200.66,DUT
AUX,201.311,201.66,DUT
AUX,202.311,202.66,DUT
AUX,203.311,203.66,DUT
AUX,204.311,204.66,DUT
AUX,205.311,205.66,DUT
AUX,206.311,206.66,DUT
AUX,207.311,207.66,DUT
AUX,208.311,208.66,DUT
AUX,209.311,209.66,DUT
AUX,210.311,210.66,DUT
AUX,211.311,211.66,DUT
AUX,212.311,212.66,DUT
AUX,213.311,213.66,DUT
AUX,214.311,214.66,DUT
AUX,215.311,215.66,DUT
AUX,216.311,216.66,DUT
AUX,217.311,217.66,DUT
AUX,218.311,218.66,DUT
AUX,219.311,219.66,DUT
AUX,220.311,220.66,DUT
AUX,221.311,221.66,DUT
AUX,222.311,222.66,DUT
AUX,223.311,223.66,DUT
AUX,224.311,224.66,DUT
AUX,225.311,225.66,DUT
AUX,226.311,226.66,DUT
AUX,227.311,227.66,DUT
AUX,228.311,228.66,DUT
AUX,229.311,229.66,DUT
AUX,230.311,230.66,DUT
AUX,231.311,231.66,DUT
AUX,232.311,232.66,DUT
AUX,233.311,233.66,DUT
AUX,234.311,234.66,DUT
AUX,235.311,235.66,DUT
AUX,236.311,236.66,DUT
AUX,237.311,237.66,DUT
AUX,238.311,238.66,DUT
AUX,239.311,239.66,DUT
AUX,240.311,240.66,DUT
AUX,241.311,241.66,DUT
AUX,242.311,242.66,DUT
AUX,243.311,243.66,DUT
AUX,244.311,244.66,DUT
AUX,245.311,245.66,DUT
AUX,246.311,246.66,DUT
AUX,247.311,247.66,DUT
AUX,248.311,248.66,DUT
AUX,249.311,249.66,DUT
AUX,250.311,250.66,DUT
AUX,251.311,251.66,DUT
AUX,252.311,252.66,DUT
AUX,253.311,253.66,DUT
AUX,254.311,254.66,DUT
AUX,255.311,255.66,DUT
AUX,256.311,256.66,DUT
AUX,257.311,257.66,DUT
AUX,258.311,258.66,DUT
AUX,259.311,259.66,DUT
AUX,260.311,260.66,DUT
AUX,261.311,261.66,DUT
AUX,262.311,262.66,DUT
AUX,263.311,263.66,DUT
AUX,264.311,264.66,DUT
AUX,265.311,265.66,DUT
AUX,266.311,266.66,DUT
AUX,267.311,267.66,DUT
AUX,268.311,268.66,DUT
AUX,269.311,269.66,DUT
AUX,270.311,270.66,DUT
AUX,271.311,271.66,DUT
AUX,272.311,272.66,DUT
AUX,273.311,273.66,DUT
AUX,274.311,274.66,DUT
AUX,275.311,275.66,DUT
AUX,276.311,276.66,DUT
AUX,277.311,277.66,DUT
AUX,278.311,278.66,DUT
AUX,279.311,279.66,DUT
AUX,280.311,280.66,DUT
AUX,281.311,281.66,DUT
AUX,282.311,282.66,DUT
AUX,283.311,283.66,DUT
AUX,284.311,284.66,DUT
AUX,285.311,285.66,DUT
AUX,286.311,286.66,DUT
AUX,287.311,287.66,DUT
AUX,288.311,288.66,DUT
AUX,289.311,289.66,DUT
AUX,290.311,290.66,DUT
AUX,291.311,291.66,DUT
AUX,292.311,292.66,DUT
